k,cp,raw_cp_over_k,target_tanh,recovered_cp_no_clip,abs_recovery_error,dtarget_dcp
400.0,0,0.0,0.0,0.0,0.0,0.0025
400.0,50,0.125,0.1243530017715962,49.99999999999999,7.105427357601002e-15,0.0024613408273759835
400.0,100,0.25,0.24491866240370913,100.0,0.0,0.002350037122015945
400.0,200,0.5,0.46211715726000974,199.99999999999997,2.842170943040401e-14,0.0019661193324148184
400.0,400,1.0,0.7615941559557649,399.99999999999994,5.684341886080802e-14,0.0010499358540350654
400.0,600,1.5,0.9051482536448664,599.9999999999999,1.1368683772161603e-13,0.0004517665973091214
400.0,800,2.0,0.9640275800758169,800.0000000000002,2.2737367544323206e-13,0.00017662706213291107
400.0,1200,3.0,0.9950547536867305,1200.0000000000005,4.547473508864641e-13,2.4665092913600528e-05
400.0,1600,4.0,0.999329299739067,1599.9999999999973,2.7284841053187847e-12,3.3523767075646637e-06
400.0,2000,5.0,0.9999092042625951,1999.9999999999493,5.070432962384075e-11,4.5395807735965075e-07
400.0,3000,7.5,0.9999993881955461,2999.9999999918773,8.122697181534022e-09,3.0590213337400305e-09
400.0,4000,10.0,0.9999999958776927,3999.99999820815,1.7918500816449523e-06,2.0611536366565985e-11
600.0,0,0.0,0.0,0.0,0.0,0.0016666666666666668
600.0,50,0.08333333333333333,0.08314096643359976,50.00000000000001,7.105427357601002e-15,0.0016551459661674783
600.0,100,0.16666666666666666,0.16514041292462936,100.00000000000001,1.4210854715202004e-14,0.0016212144066984715
600.0,200,0.3333333333333333,0.32151273753163434,200.0,0.0,0.001494382599341524
600.0,400,0.6666666666666666,0.5827829453479102,400.00000000000006,5.684341886080802e-14,0.001100606731019358
600.0,600,1.0,0.7615941559557649,599.9999999999999,1.1368683772161603e-13,0.0006999572360233769
600.0,800,1.3333333333333333,0.8700616617426719,800.0,0.0,0.0004049878412759674
600.0,1200,2.0,0.9640275800758169,1200.0000000000002,2.2737367544323206e-13,0.00011775137475527405
600.0,1600,2.6666666666666665,0.9903904942256809,1599.9999999999989,1.1368683772161603e-12,3.187778157901907e-05
600.0,2000,3.3333333333333335,0.9974579674738373,2000.0000000000025,2.5011104298755527e-12,8.46267187160225e-06
600.0,3000,5.0,0.9999092042625951,2999.9999999999236,7.639755494892597e-11,3.026387182397672e-07
600.0,4000,6.666666666666667,0.9999967608116616,4000.000000000187,1.8690116121433675e-10,1.0797276974172653e-08
800.0,0,0.0,0.0,0.0,0.0,0.00125
800.0,50,0.0625,0.062418746747512514,50.0,0.0,0.0012451298750680874
800.0,100,0.125,0.1243530017715962,99.99999999999999,1.4210854715202004e-14,0.0012306704136879917
800.0,200,0.25,0.24491866240370913,200.0,0.0,0.0011750185610079724
800.0,400,0.5,0.46211715726000974,399.99999999999994,5.684341886080802e-14,0.0009830596662074092
800.0,600,0.75,0.6351489523872873,600.0,0.0,0.0007457322603516643
800.0,800,1.0,0.7615941559557649,799.9999999999999,1.1368683772161603e-13,0.0005249679270175327
800.0,1200,1.5,0.9051482536448664,1199.9999999999998,2.2737367544323206e-13,0.0002258832986545607
800.0,1600,2.0,0.9640275800758169,1600.0000000000005,4.547473508864641e-13,8.831353106645553e-05
800.0,2000,2.5,0.9866142981514303,2000.0000000000007,6.821210263296962e-13,3.3240283353950655e-05
800.0,3000,3.75,0.9988944427261528,2999.999999999999,9.094947017729282e-13,2.7623653635108767e-06
800.0,4000,5.0,0.9999092042625951,3999.9999999998986,1.014086592476815e-10,2.2697903867982538e-07
1000.0,0,0.0,0.0,0.0,0.0,0.001
1000.0,50,0.05,0.04995837495787998,50.0,0.0,0.000997504160771568
1000.0,100,0.1,0.09966799462495582,100.0,0.0,0.0009900662908474398
1000.0,200,0.2,0.197375320224904,200.0,0.0,0.0009610429829661165
1000.0,400,0.4,0.3799489622552249,400.0,0.0,0.0008556387860811777
1000.0,600,0.6,0.5370495669980353,600.0,0.0,0.0007115777625872229
1000.0,800,0.8,0.6640367702678491,800.0000000000002,2.2737367544323206e-13,0.0005590551677322437
1000.0,1200,1.2,0.8336546070121552,1200.0,0.0,0.00030501999620740906
1000.0,1600,1.6,0.9216685544064713,1600.0000000000002,2.2737367544323206e-13,0.0001505270758182854
1000.0,2000,2.0,0.9640275800758169,2000.0000000000005,4.547473508864641e-13,7.065082485316443e-05
1000.0,3000,3.0,0.9950547536867305,3000.0000000000014,1.3642420526593924e-12,9.866037165440212e-06
1000.0,4000,4.0,0.999329299739067,3999.9999999999927,7.275957614183426e-12,1.3409506830258655e-06
