case_id,fen,source,source_kind,category,game_index,ply,played_move
pgn_v1_1_vs_v1_g2_p146,8/8/8/4K3/6b1/q4k2/8/8 w - - 8 74,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,2,146,e5d5
validation_0151,6k1/1b1q2p1/1p5p/1P1n4/2Q5/5P1P/6P1/4R1K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
pgn_v1_1_vs_v1_g2_p83,8/5p2/4b3/4k3/6r1/8/6PK/R7 b - - 13 42,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,2,83,g4h4
pgn_v1_1_vs_v1_g15_p59,8/2p5/2Kp4/3P2p1/5kP1/p7/B7/2b5 b - - 13 30,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,15,59,f4g4
validation_0360,3r1rk1/2q2p1p/p1bp1bp1/1p2pP2/4PBP1/P1NB3Q/1PP4P/4RR1K b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_v1_1_vs_v1_g8_p98,8/8/6p1/R7/8/8/pK6/4rk2 b - - 5 49,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,8,98,a2a1q
pgn_v1_1_vs_v1_g13_p69,4K3/k7/6p1/1r2B1P1/8/8/p7/8 w - - 1 35,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,13,69,e5c3
validation_0347,r4rk1/p1p3pp/b1p5/2b2p2/3qP3/3PN3/PPP3PP/R1BQ1RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
validation_0147,8/p3n3/1p3k2/1P3pp1/8/3PP3/3K3P/2N5 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,
validation_0254,4r3/5pkR/3Nr1p1/p1p1P1P1/P1Pp1K2/1P6/2P5/7R b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+in_check,,,
validation_0119,8/1p3pp1/2kNp2p/r3P3/5PP1/2K5/7P/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
suite_0010,r2q1rk1/1pp2pbp/3p1np1/p2Pp3/P1BnP3/2N4P/1PP2PP1/R1BQ1RK1 w - - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_available,,,
validation_0300,4r3/2RNn1kp/p4p2/1b1p2p1/3P4/5N2/PP3PPP/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0126,3r2k1/p4p2/8/3p1Pp1/6QP/qpP3P1/4R3/1K6 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,
pgn_v1_1_vs_v1_g22_p48,8/8/5K2/3k4/R7/8/8/8 b - - 2 24,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,22,48,d5c5
suite_0006,rnbqk2r/pp2bppp/3p1n2/2p1p3/4P3/P1P2N2/1P1PBPPP/RNBQ1RK1 b kq - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_available,,,
pgn_nn_vs_material_g10_p40,2krr3/ppp2ppp/8/8/3n3P/2K4b/PPP1P2P/RNB4R b - - 1 20,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,middle_17_23+capture_available,10,40,d4e2
suite_0037,5k2/p4p1p/1b4p1/1P6/PN6/6PP/5r2/3RK3 b - - 0 1,training/data/test_fens_60.txt,fen_suite,late_11_16+quiet,,,
validation_0299,2b1k2r/pr4p1/2p5/q5Np/1b1Qpp1P/8/P1P2PP1/1R1R2K1 b k -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
pgn_nn_vs_material_g19_p15,rnbqkb1r/pppppppp/7n/3P4/4P3/2N2N1P/PPP1QPP1/R1B1KB1R w KQq - 1 8,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,19,15,c3b5
validation_0121,8/R5pk/5n1p/4N3/8/2p4P/P4PPK/2r5 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
suite_0056,8/8/4p1N1/p3P2P/4k1K1/4b3/P7/8 w - - 0 1,training/data/test_fens_60.txt,fen_suite,endgame_2_10+quiet,,,
pgn_nn_vs_stockfish_2000_g2_p55,r6k/pp6/4pp1p/1bN1b3/1P6/P3B1P1/B4KP1/2RR4 w - - 8 28,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,middle_17_23+capture_rich,2,55,a2e6
pgn_nn_vs_stockfish_2000_g6_p1,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+quiet,6,1,g1f3
validation_0138,8/6k1/3R4/p4p2/Bp3B2/2p5/3p2PK/r7 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
pgn_v1_1_vs_v1_g2_p118,8/8/8/4RpK1/6b1/8/1r4P1/3k4 w - - 14 60,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,2,118,e5d5
pgn_nn_vs_material_g7_p56,r1b2k1r/p2nq1b1/1p2PNQn/8/2p5/7P/PPP2PP1/1K4R1 b - - 0 28,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,middle_17_23+capture_rich,7,56,d7f6
validation_0289,3Q4/3bppk1/3p3p/3P4/4nPP1/P7/2r2b1N/1B4K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+in_check,,,
validation_0074,8/p1k5/1p5R/1P6/3K3P/2P5/7r/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,
validation_0137,8/3rpkb1/8/6pp/3PBP2/3RP1P1/7P/6K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
validation_0387,r1b2rk1/1pp3pp/p1n5/2bNp1Pq/4P3/3B2Q1/PPPP1PP1/R1B1R1K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_v1_1_vs_v1_g2_p80,8/5p2/4bk2/8/6r1/8/6PK/1R6 w - - 10 41,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,2,80,b1f1
pgn_nn_vs_material_g5_p37,1r1q3r/pp1knpbp/7p/1Ppp4/3P4/1Q3N1P/P4PP1/R3R1K1 w - - 0 19,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,5,37,d4c5
validation_0237,5k2/p1n5/1p1r1b1p/2pPN1pP/2P1R3/1P6/P4PP1/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+quiet,,,
pgn_nn_vs_material_g2_p20,2kr1b1r/ppp1qppp/2n5/3p1b2/4p1n1/8/PPPPPPPP/RNBQKBNR b KQ - 5 10,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,2,20,e7h4
validation_0024,8/8/4r2k/7P/8/8/p3pK2/4R3 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,
pgn_nn_vs_stockfish_full_g5_p29,rn4k1/pb3rpp/1p2Rn2/2b5/2pq4/2N5/PPBB1PPP/R2Q2K1 w - - 1 15,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_full.pgn,pgn,high_material_24_32+capture_available,5,29,e6f6
pgn_v1_1_vs_v1_g19_p52,2k5/8/1P6/4Kn2/2N5/8/8/8 b - - 4 26,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,19,52,f5e7
validation_0325,2rqbrk1/pp2b2p/4ppp1/n2p3n/3PP3/P1NB1NB1/1PQ2PPP/R3R1K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
pgn_nn_vs_material_g19_p46,r1b4r/p1kpQpbN/1p1R2pn/1pn1P3/8/7P/PPP2PP1/1K3B1R b - - 3 23,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,19,46,h8h7
