case_id,fen,source,source_kind,category,game_index,ply,played_move,baseline_move,completed_depth,agent_nodes,agent_elapsed_s,sf_best_move,sf_best_score,sf_candidate_score,sf_best_expectation,sf_candidate_expectation,cp_delta_raw,cp_loss,expectation_delta_raw,expectation_loss,mate_blunder,sign_flip,winning_to_notwinning,pathology_priority
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,,d5d6,5,948,0.03543173801153898,d5c5,+291,-463,1.0,0.0,754.0,754.0,1.0,1.0,False,True,True,13.508
validation_0286,2r1nrk1/1p3ppp/p3p3/2bNq3/8/4B3/PP2QPPP/2RR2K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,c1c5,5,16250,0.9611226700071711,d5e7,+274,-259,1.0,0.0,533.0,533.0,1.0,1.0,False,True,True,13.066
validation_0210,6k1/pp3pp1/4pn1p/q7/2P5/1P2PBP1/P2r1P1P/1Q3K1R b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,d2f2,5,28859,1.5113635650195647,a5c3,+130,-406,0.926,0.0,536.0,536.0,0.926,0.926,False,True,True,12.332
validation_0370,r3r1k1/1ppq1pp1/2n1bn1p/2b1p3/4P2N/pPP3NP/P1B1QPP1/R1B2RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,c6b4,4,100096,6.006487530015875,e6h3,+133,-380,0.889,0.0,513.0,513.0,0.889,0.889,False,True,True,11.916
validation_0384,r1bq1rk1/3nbpp1/2p1pn1p/1p2B1N1/p2P2N1/6PB/P1Q1PP1P/R2R2K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,g5f7,5,49257,2.7949313319986686,g4h6,+98,-204,0.7395,0.009,302.0,302.0,0.7305,0.7305,False,False,False,7.909000000000001
pgn_v1_1_vs_v1_g8_p98,8/8/6p1/R7/8/8/pK6/4rk2 b - - 5 49,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,8,98,a2a1q,g6g5,5,4860,0.16805321499123238,a2a1q,+689,0,1.0,0.5,689.0,689.0,0.5,0.5,False,False,True,7.378
pgn_nn_vs_stockfish_2000_g3_p87,4k3/4n3/8/7p/2PB4/b4b1P/r5PK/8 w - - 0 44,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,late_11_16+quiet,3,87,h2g1,d4e5,5,10784,0.4722363140026573,d4f2,-779,#-5,0.0,0.0,99216.0,99216.0,0.0,0.0,True,False,False,7.0
pgn_v1_1_vs_v1_g15_p76,4K3/8/2Bp4/3P4/5b2/4k3/6p1/q7 w - - 0 39,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,15,76,e8f7,c6d7,5,6831,0.29187720399932005,c6b7,-1093,#-6,0.0,0.0,98901.0,98901.0,0.0,0.0,True,False,False,7.0
pgn_v1_1_vs_v1_g3_p36,r4k2/p4p1B/2pPb3/4n2N/8/2P2P2/R1PQ1KPP/8 b - - 2 18,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,middle_17_23+capture_available,3,36,e6a2,e6a2,5,6109,0.27834999197511934,e5d7,-897,#-3,0.0,0.0,99100.0,99100.0,0.0,0.0,True,False,False,7.0
pgn_v1_1_vs_v1_g21_p49,8/3K2k1/4R3/4r3/8/7q/8/8 w - - 6 25,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,21,49,d7c8,d7d6,5,8260,0.2826585360162426,d7c6,-991,#-9,0.0,0.0,99000.0,99000.0,0.0,0.0,True,False,False,7.0
validation_0021,8/8/2n5/2kN4/4P3/5P1P/1Q4P1/6K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,,c5d6,5,8844,0.36896066399640404,c5c4,-946,#-7,0.0,0.0,99047.0,99047.0,0.0,0.0,True,False,False,7.0
validation_0249,2r1r3/p1q1kp2/1p3N2/n6R/6Q1/P7/5PPP/5RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,e7f6,5,14522,0.7476465749787167,c7c1,-571,#-7,0.0,0.0,99422.0,99422.0,0.0,0.0,True,False,False,7.0
validation_0220,2r3k1/5pp1/4p3/2pqP2p/3r3P/4B3/P1R1QP2/2R3K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,d4h4,5,27528,1.2705513370165136,d4g4,+304,-34,1.0,0.488,338.0,338.0,0.512,0.512,False,False,True,6.796
suite_0058,8/3R4/8/5r2/3k4/3p4/P5KP/8 b - - 0 1,training/data/test_fens_60.txt,fen_suite,endgame_2_10+in_check,,,,f5d5,5,5238,0.18176182699971832,d4c3,+34,-653,0.51,0.0,687.0,687.0,0.51,0.51,False,False,False,6.474
validation_0073,8/8/B6b/2k3pP/4K1P1/5p2/8/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,,e4f3,5,2314,0.0749598300026264,e4f5,+201,+7,0.9985,0.501,194.0,194.0,0.49750000000000005,0.49750000000000005,False,False,True,6.363
validation_0182,6k1/6Np/6pP/5p2/1P1P4/2P1rP2/6P1/6K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,g8f7,5,4714,0.186105372995371,e3c3,+168,+21,0.991,0.504,147.0,147.0,0.487,0.487,False,False,True,6.164
validation_0106,8/8/5rk1/PQ2p3/3q2p1/2p3P1/5P1P/5RK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,b5e8,5,11986,0.547234015975846,a5a6,+155,+20,0.9805,0.504,135.0,135.0,0.47650000000000003,0.47650000000000003,False,False,True,6.035
validation_0269,r1b2bk1/1p3p2/p3p2p/2p1P3/2P5/1R2B3/P1BNnPPP/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+in_check,,,,g1h1,5,3418,0.16970616302569397,g1f1,+156,+50,0.981,0.526,106.0,106.0,0.45499999999999996,0.45499999999999996,False,False,True,5.762
pgn_v1_1_vs_v1_g13_p13,1rr5/1k6/p1b1pBp1/2QpP1P1/P7/1P2Pp2/3K4/8 w - - 1 7,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,middle_17_23+capture_available,13,13,c5e7,c5d6,5,13179,0.6185746700211894,c5e7,0,-366,0.5,0.0,366.0,366.0,0.5,0.5,False,False,False,5.732
pgn_nn_vs_stockfish_2000_g9_p45,r1k4r/2pn2bp/b1p3q1/N4pB1/PP2p3/2P2N1Q/5PPP/R3R1K1 w - - 0 23,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_rich,9,45,a1d1,a1d1,5,28657,1.7126503149920609,g5f4,+157,+34,0.966,0.522,123.0,123.0,0.44399999999999995,0.44399999999999995,False,False,True,5.686
pgn_v1_1_vs_v1_g7_p82,8/8/1p2P3/p5R1/3P3P/1k1K4/3n3r/8 b - - 0 41,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,7,82,b3b4,b3a3,5,5274,0.22379582800203934,h2h4,-40,-445,0.486,0.0,405.0,405.0,0.486,0.486,False,False,False,5.67
suite_0049,8/1k5p/p4P2/1p6/2p5/P3Q2P/KPq5/8 b - - 0 1,training/data/test_fens_60.txt,fen_suite,late_11_16+capture_available,,,,b5b4,5,14505,0.6085251490003429,c2f5,-23,-338,0.495,0.0,315.0,315.0,0.495,0.495,False,False,False,5.58
validation_0247,r3r1k1/6bp/pq2b1p1/RN1Qp1B1/1PP5/8/5PPP/5BK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,,d5f3,5,28491,1.6072722609969787,d5e4,0,-236,0.5,0.0005,236.0,236.0,0.4995,0.4995,False,False,False,5.4670000000000005
pgn_v1_1_vs_v1_g12_p5,8/1b4k1/p2p4/Pp1P2p1/1P1r4/1R4KP/8/3B4 w - - 1 3,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+quiet,12,5,d1c2,d1c2,5,10269,0.4494712910091039,d1f3,-43,-314,0.4815,0.0,271.0,271.0,0.4815,0.4815,False,False,False,5.356999999999999
pgn_v1_1_vs_v1_g11_p9,8/1b4k1/p2p4/Pp1P2p1/1P1rB3/1R4KP/8/8 w - - 5 5,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+quiet,11,9,e4b1,e4b1,5,7532,0.3327503599866759,e4g2,-35,-248,0.4885,0.0,213.0,213.0,0.4885,0.4885,False,False,False,5.311
pgn_nn_vs_material_g5_p37,1r1q3r/pp1knpbp/7p/1Ppp4/3P4/1Q3N1P/P4PP1/R3R1K1 w - - 0 19,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,5,37,d4c5,d4c5,5,65624,3.426024407002842,f3e5,-22,-182,0.4925,0.007,160.0,160.0,0.4855,0.4855,False,False,False,5.175
validation_0311,r2qr1k1/1ppb1pb1/3p1npp/p1n5/2PNPP2/2N3PP/PP4BK/1RBQR3 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,f6e4,5,27288,1.597426023974549,h6h5,+8,-176,0.507,0.0275,184.0,184.0,0.4795,0.4795,False,False,False,5.163
validation_0152,8/2R5/2r5/2k1p3/1pP1P3/8/2Pn2B1/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,c7a7,5,8183,0.3174999949987978,c7d7,-49,-182,0.4755,0.004,133.0,133.0,0.4715,0.4715,False,False,False,4.981
pgn_v1_1_vs_v1_g5_p24,2b1r1k1/1pp3p1/7P/2p1pp2/1pP4R/rP1BPPp1/P2P2P1/R3K3 b Q - 0 12,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,high_material_24_32+capture_available,5,24,e5e4,g7h6,5,19339,1.2238063190015964,g7g6,+112,-27,0.831,0.4935,139.0,139.0,0.33749999999999997,0.33749999999999997,False,False,True,4.653
pgn_v1_1_vs_v1_g10_p1,8/p7/2pbk3/1p4pp/1P2P3/2PN1K1P/1P6/8 w - - 0 1,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+quiet,10,1,d3f2,d3f2,5,6010,0.22978632000740618,f3g2,-51,-147,0.4745,0.0295,96.0,96.0,0.44499999999999995,0.44499999999999995,False,False,False,4.6419999999999995
validation_0195,2b3k1/p4pp1/1p6/3p4/3P4/B3P2P/1P3PP1/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,,f2f3,5,5260,0.2167086839908734,a3d6,+118,+58,0.8695,0.5385,60.0,60.0,0.33100000000000007,0.33100000000000007,False,False,True,4.430000000000001
validation_0231,3r1k2/1q3ppp/p3pn2/1p2N3/1P6/P1Q3P1/4PPKP/2R5 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+in_check,,,,f2f3,5,16084,0.8163149359752424,c3c6,+185,+76,0.996,0.6,109.0,109.0,0.396,0.396,False,False,False,4.178
validation_0314,3rr3/pp4k1/2p1pnp1/4b1q1/4PN1p/P2BQ1PP/1PP5/1K1R2R1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,g7h8,5,39714,2.131720826990204,g7h7,+77,-102,0.6185,0.238,179.0,179.0,0.38050000000000006,0.38050000000000006,False,False,False,4.163
pgn_nn_vs_material_g12_p24,2kr1b1r/ppp2ppp/2n5/3p1b2/4p2q/6P1/PPPPPK1P/RNBQ1BNR b - - 0 12,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,12,24,f8c5,h4h5,5,19614,1.2597050449985545,h4f6,+297,+76,1.0,0.6385,221.0,221.0,0.36150000000000004,0.36150000000000004,False,False,False,4.057
pgn_nn_vs_stockfish_2000_g7_p39,rn5r/ppk2p2/1q1p1bpp/2pP4/5P2/2N4B/PPPQ3P/2K1RR2 w - - 5 20,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+quiet,7,39,f1f3,f4f5,5,38560,2.1320741859963164,d2d3,-75,-191,0.387,0.0055,116.0,116.0,0.3815,0.3815,False,False,False,4.047
validation_0176,r5k1/5ppp/2N1p3/p7/P7/1Pn2P2/6PP/R3K3 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,a8a6,5,7451,0.37005952501203865,g8f8,-83,-237,0.364,0.0,154.0,154.0,0.364,0.364,False,False,False,3.9479999999999995
validation_0369,r4rk1/p1p3pp/2p5/2bqP3/2bP1pQ1/2P2N2/PP4PP/R1B1K2R w KQ -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,f3d2,5,20646,1.297246706992155,e1f2,+45,-110,0.5295,0.19,155.0,155.0,0.33949999999999997,0.33949999999999997,False,False,False,3.7049999999999996
validation_0222,r1r3k1/2pp1ppp/b3q3/p7/P2QP3/1P6/1P3PPP/1BR1R1K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,c7c5,5,46328,2.4989094780175947,a8b8,-77,-143,0.3885,0.044,66.0,66.0,0.34450000000000003,0.34450000000000003,False,False,False,3.5770000000000004
validation_0293,2b2rk1/5p1p/p2p1ppb/8/1r1NP1P1/q1PQ3P/B4P2/R3K2R b K -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,,b4d4,5,23733,1.414669418008998,a3b2,+3,-110,0.501,0.185,113.0,113.0,0.316,0.316,False,False,False,3.386
