case_id,fen,source,source_kind,category,game_index,ply,played_move,baseline_move,completed_depth,agent_nodes,agent_elapsed_s,sf_best_move,sf_best_score,sf_candidate_score,sf_best_expectation,sf_candidate_expectation,cp_delta_raw,cp_loss,expectation_delta_raw,expectation_loss,mate_blunder,sign_flip,winning_to_notwinning,pathology_priority,screen_baseline_move,screen_cp_loss,screen_expectation_loss
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,,d5d6,11,83968,3.401282720005838,d5c5,+430,-495,1.0,0.0,925.0,925.0,1.0,1.0,False,True,True,13.85,d5d6,754.0,1.0
validation_0210,6k1/pp3pp1/4pn1p/q7/2P5/1P2PBP1/P2r1P1P/1Q3K1R b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,d2f2,6,63232,3.40965149999829,a5c3,+182,-423,0.9955,0.0,605.0,605.0,0.9955,0.9955,False,True,True,13.165,d2f2,536.0,0.926
validation_0286,2r1nrk1/1p3ppp/p3p3/2bNq3/8/4B3/PP2QPPP/2RR2K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,c1c5,6,55295,3.407140975992661,d5b6,+291,-248,1.0,0.0005,539.0,539.0,0.9995,0.9995,False,True,True,13.073,c1c5,533.0,1.0
validation_0370,r3r1k1/1ppq1pp1/2n1bn1p/2b1p3/4P2N/pPP3NP/P1B1QPP1/R1B2RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,c6b4,4,53504,3.404783371981466,e6h3,+112,-380,0.8055,0.0,492.0,492.0,0.8055,0.8055,False,True,True,11.039,c6b4,513.0,0.889
validation_0249,2r1r3/p1q1kp2/1p3N2/n6R/6Q1/P7/5PPP/5RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,e7f6,6,63232,3.404904733004514,c7c1,-660,#-5,0.0,0.0,99335.0,99335.0,0.0,0.0,True,False,False,7.0,e7f6,99422.0,0.0
validation_0073,8/8/B6b/2k3pP/4K1P1/5p2/8/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,,a6d3,10,97280,3.401625783997588,e4f5,+418,+51,1.0,0.5255,367.0,367.0,0.47450000000000003,0.47450000000000003,False,False,True,6.479,e4f3,194.0,0.49750000000000005
validation_0314,3rr3/pp4k1/2p1pnp1/4b1q1/4PN1p/P2BQ1PP/1PP5/1K1R2R1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,g7h8,5,61696,3.4036272180092055,g7h7,+66,-145,0.578,0.048,211.0,211.0,0.5299999999999999,0.5299999999999999,False,False,False,5.721999999999999,g7h8,179.0,0.38050000000000006
validation_0384,r1bq1rk1/3nbpp1/2p1pn1p/1p2B1N1/p2P2N1/6PB/P1Q1PP1P/R2R2K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,g5f7,5,58368,3.401854961994104,g4h6,+6,-240,0.5045,0.0025,246.0,246.0,0.502,0.502,False,False,False,5.512,g5f7,302.0,0.7305
pgn_v1_1_vs_v1_g11_p9,8/1b4k1/p2p4/Pp1P2p1/1P1rB3/1R4KP/8/8 w - - 5 5,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+quiet,11,9,e4b1,e4b1,7,72763,3.4014560939976946,e4g2,-32,-280,0.49,0.0,248.0,248.0,0.49,0.49,False,False,False,5.396000000000001,e4b1,213.0,0.4885
validation_0247,r3r1k1/6bp/pq2b1p1/RN1Qp1B1/1PP5/8/5PPP/5BK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,,d5f3,5,58368,3.407979564013658,d5d6,-26,-189,0.491,0.004,163.0,163.0,0.487,0.487,False,False,False,5.196,d5f3,236.0,0.4995
pgn_nn_vs_stockfish_2000_g7_p39,rn5r/ppk2p2/1q1p1bpp/2pP4/5P2/2N4B/PPPQ3P/2K1RR2 w - - 5 20,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+quiet,7,39,f1f3,f4f5,5,60416,3.4177258769923355,h3e6,-40,-225,0.4755,0.001,185.0,185.0,0.4745,0.4745,False,False,False,5.115,f4f5,116.0,0.3815
pgn_nn_vs_material_g12_p24,2kr1b1r/ppp2ppp/2n5/3p1b2/4p2q/6P1/PPPPPK1P/RNBQ1BNR b - - 0 12,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,12,24,f8c5,h4h5,5,51200,3.411557937011821,h4f6,+291,+55,0.9995,0.5725,236.0,236.0,0.42700000000000005,0.42700000000000005,False,False,False,4.742000000000001,h4h5,221.0,0.36150000000000004
validation_0176,r5k1/5ppp/2N1p3/p7/P7/1Pn2P2/6PP/R3K3 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,a8a6,7,67840,3.404202702018665,c3d5,-66,-248,0.4375,0.0,182.0,182.0,0.4375,0.4375,False,False,False,4.739,a8a6,154.0,0.364
validation_0311,r2qr1k1/1ppb1pb1/3p1npp/p1n5/2PNPP2/2N3PP/PP4BK/1RBQR3 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,f6e4,5,54272,3.4016308290010784,a5a4,-41,-181,0.4535,0.0225,140.0,140.0,0.431,0.431,False,False,False,4.59,f6e4,184.0,0.4795
validation_0106,8/8/5rk1/PQ2p3/3q2p1/2p3P1/5P1P/5RK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,b5e8,6,70656,3.408536945004016,a5a6,+106,0,0.791,0.5,106.0,106.0,0.29100000000000004,0.29100000000000004,False,False,True,4.122,b5e8,135.0,0.47650000000000003
validation_0392,2kr1b1r/1pp1qppp/p1p2n2/8/4P1b1/2NP1N2/PPP2PPP/R1BQ1RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,h7h5,5,57344,3.412331419007387,h7h6,-65,-171,0.409,0.023,106.0,106.0,0.38599999999999995,0.38599999999999995,False,False,False,4.071999999999999,h7h5,85.0,0.303
pgn_nn_vs_stockfish_2000_g9_p45,r1k4r/2pn2bp/b1p3q1/N4pB1/PP2p3/2P2N1Q/5PPP/R3R1K1 w - - 0 23,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_rich,9,45,a1d1,a1d1,5,56832,3.4109505329979584,g5f4,+109,+26,0.801,0.5145,83.0,83.0,0.2865000000000001,0.2865000000000001,False,False,True,4.031000000000001,a1d1,123.0,0.44399999999999995
pgn_v1_1_vs_v1_g12_p5,8/1b4k1/p2p4/Pp1P2p1/1P1r4/1R4KP/8/3B4 w - - 1 3,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+quiet,12,5,d1c2,b3e3,8,75264,3.408136458019726,d1f3,-77,-160,0.394,0.0145,83.0,83.0,0.3795,0.3795,False,False,False,3.961,d1c2,271.0,0.4815
