case_id,fen,category,source,variant,depth,move,engine_score_cp,depth_nodes,total_nodes,depth_elapsed_s,total_elapsed_s,run_completed_depth,run_timeout,run_elapsed_s,sf_best_move,sf_best_score,sf_candidate_score,sf_best_cp,sf_candidate_cp,sf_best_expectation,sf_candidate_expectation,cp_delta_raw,cp_loss,expectation_delta_raw,expectation_loss,mate_blunder,sign_flip,winning_to_notwinning,stat_tt_cutoffs,stat_null_tries,stat_null_cutoffs,stat_lmr_reductions,stat_lmr_researches,stat_futility_skips,stat_repetition_draws,stat_aspiration_retries,stat_material_capture_deprioritized,stat_qnodes
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,training/data/samples/lichess_validation_250k.csv,baseline,1,d5d6,9,24,24,0.0010846609948202968,0.0010858610039576888,7,False,0.18930396001087502,d5c5,+424,-541,424,-541,1.0,0.0,965.0,965.0,1.0,1.0,False,True,True,354,0,0,334,13,522,0,1,0,2022
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,training/data/samples/lichess_validation_250k.csv,baseline,2,d5d6,9,41,65,0.0014074500068090856,0.0024945110199041665,7,False,0.18930396001087502,d5c5,+424,-541,424,-541,1.0,0.0,965.0,965.0,1.0,1.0,False,True,True,354,0,0,334,13,522,0,1,0,2022
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,training/data/samples/lichess_validation_250k.csv,baseline,3,d5d6,-84,168,233,0.005417407024651766,0.007912618020782247,7,False,0.18930396001087502,d5c5,+424,-541,424,-541,1.0,0.0,965.0,965.0,1.0,1.0,False,True,True,354,0,0,334,13,522,0,1,0,2022
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,training/data/samples/lichess_validation_250k.csv,baseline,4,d5d6,-29,339,572,0.012452957016648725,0.020366475015180185,7,False,0.18930396001087502,d5c5,+424,-541,424,-541,1.0,0.0,965.0,965.0,1.0,1.0,False,True,True,354,0,0,334,13,522,0,1,0,2022
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,training/data/samples/lichess_validation_250k.csv,baseline,5,d5d6,-29,376,948,0.013963301986223087,0.034330777009017766,7,False,0.18930396001087502,d5c5,+424,-541,424,-541,1.0,0.0,965.0,965.0,1.0,1.0,False,True,True,354,0,0,334,13,522,0,1,0,2022
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,training/data/samples/lichess_validation_250k.csv,baseline,6,d5d6,11,1329,2277,0.051724558987189084,0.08605643600458279,7,False,0.18930396001087502,d5c5,+424,-541,424,-541,1.0,0.0,965.0,965.0,1.0,1.0,False,True,True,354,0,0,334,13,522,0,1,0,2022
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,training/data/samples/lichess_validation_250k.csv,baseline,7,d5d6,13,2801,5078,0.10324432500055991,0.189302161015803,7,False,0.18930396001087502,d5c5,+424,-541,424,-541,1.0,0.0,965.0,965.0,1.0,1.0,False,True,True,354,0,0,334,13,522,0,1,0,2022
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,training/data/samples/lichess_validation_250k.csv,no_null,1,d5d6,9,24,24,0.0010656619851943105,0.0010667619935702533,7,False,0.18728193300194107,d5c5,+424,-541,424,-541,1.0,0.0,965.0,965.0,1.0,1.0,False,True,True,354,0,0,334,13,522,0,1,0,2022
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,training/data/samples/lichess_validation_250k.csv,no_null,2,d5d6,9,41,65,0.0014082499837968498,0.002475911984220147,7,False,0.18728193300194107,d5c5,+424,-541,424,-541,1.0,0.0,965.0,965.0,1.0,1.0,False,True,True,354,0,0,334,13,522,0,1,0,2022
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,training/data/samples/lichess_validation_250k.csv,no_null,3,d5d6,-84,168,233,0.00543660600669682,0.007913217996247113,7,False,0.18728193300194107,d5c5,+424,-541,424,-541,1.0,0.0,965.0,965.0,1.0,1.0,False,True,True,354,0,0,334,13,522,0,1,0,2022
