case_id,fen,sf_best_move,baseline_deep_move,root_material_cp,sf_move_material_after_cp,baseline_move_material_after_cp,sf_move_nn_static_cp,baseline_move_nn_static_cp,sf_move_qsearch_cp,baseline_move_qsearch_cp,nn_static_bad_minus_best,qsearch_bad_minus_best
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,d5c5,d5d6,0,0,0,35,122,-75,9,87,84
validation_0210,6k1/pp3pp1/4pn1p/q7/2P5/1P2PBP1/P2r1P1P/1Q3K1R b - -,a5c3,d2f2,-110,-110,-10,240,302,240,-39,62,-279
validation_0286,2r1nrk1/1p3ppp/p3p3/2bNq3/8/4B3/PP2QPPP/2RR2K1 w - -,d5b6,d5e7,-100,-100,-100,74,106,18,167,32,149
validation_0370,r3r1k1/1ppq1pp1/2n1bn1p/2b1p3/4P2N/pPP3NP/P1B1QPP1/R1B2RK1 b - -,e6h3,c5b4,0,100,0,5,33,-15,33,28,48
validation_0249,2r1r3/p1q1kp2/1p3N2/n6R/6Q1/P7/5PPP/5RK1 b - -,c7d8,e7f6,-100,-100,220,-603,-399,-678,-399,204,279
validation_0073,8/8/B6b/2k3pP/4K1P1/5p2/8/8 w - -,e4f5,e4f3,0,0,100,58,134,58,134,76,76
validation_0314,3rr3/pp4k1/2p1pnp1/4b1q1/4PN1p/P2BQ1PP/1PP5/1K1R2R1 b - -,g7h7,g7h7,0,0,0,-176,-176,-176,-176,0,0
validation_0384,r1bq1rk1/3nbpp1/2p1pn1p/1p2B1N1/p2P2N1/6PB/P1Q1PP1P/R2R2K1 w - -,g4h6,g5f7,-100,0,0,183,59,96,59,-124,-37
pgn_v1_1_vs_v1_g11_p9,8/1b4k1/p2p4/Pp1P2p1/1P1rB3/1R4KP/8/8 w - - 5 5,e4g2,e4b1,0,0,0,4,-6,-47,-87,-10,-40
validation_0247,r3r1k1/6bp/pq2b1p1/RN1Qp1B1/1PP5/8/5PPP/5BK1 w - -,d5d6,d5e4,-80,-80,-80,-53,-75,-53,-83,-22,-30
pgn_nn_vs_stockfish_2000_g7_p39,rn5r/ppk2p2/1q1p1bpp/2pP4/5P2/2N4B/PPPQ3P/2K1RR2 w - - 5 20,e1e4,d2d3,-100,-100,-100,182,181,109,154,-1,45
pgn_nn_vs_material_g12_p24,2kr1b1r/ppp2ppp/2n5/3p1b2/4p2q/6P1/PPPPPK1P/RNBQ1BNR b - - 0 12,h4f6,f8c5,-220,-220,-220,289,476,289,538,187,249
validation_0176,r5k1/5ppp/2N1p3/p7/P7/1Pn2P2/6PP/R3K3 b - -,c3d5,a8a6,0,0,0,-6,8,-6,8,14,14
validation_0311,r2qr1k1/1ppb1pb1/3p1npp/p1n5/2PNPP2/2N3PP/PP4BK/1RBQR3 b - -,a5a4,f6e4,0,0,100,8,97,8,97,89,89
validation_0106,8/8/5rk1/PQ2p3/3q2p1/2p3P1/5P1P/5RK1 w - -,b5e2,a5a6,100,100,100,23,65,23,65,42,42
validation_0392,2kr1b1r/1pp1qppp/p1p2n2/8/4P1b1/2NP1N2/PPP2PPP/R1BQ1RK1 b - -,h7h6,h7h5,-90,-90,-90,-102,-71,-102,-71,31,31
pgn_nn_vs_stockfish_2000_g9_p45,r1k4r/2pn2bp/b1p3q1/N4pB1/PP2p3/2P2N1Q/5PPP/R3R1K1 w - - 0 23,g5f4,b4b5,90,90,90,177,208,177,178,31,1
pgn_v1_1_vs_v1_g12_p5,8/1b4k1/p2p4/Pp1P2p1/1P1r4/1R4KP/8/3B4 w - - 1 3,d1f3,d1c2,0,0,0,13,-11,-37,-84,-24,-47
