game,ply,move_number,side,player,phase,move,best_move,best_eval_cp,played_eval_cp,cp_loss,classification
1,1,1,white,.,opening/middlegame,d4,e2e4,37,29,8,ok
1,2,1,black,baselines/stockfish,opening/middlegame,d5,g8f6,-30,-25,0,ok
1,3,2,white,.,opening/middlegame,c4,g1f3,23,26,0,ok
1,4,2,black,baselines/stockfish,opening/middlegame,e6,e7e6,-25,-31,6,ok
1,5,3,white,.,opening/middlegame,e3,b1c3,30,5,25,ok
1,6,3,black,baselines/stockfish,opening/middlegame,Nf6,g8f6,-6,-8,2,ok
1,7,4,white,.,opening/middlegame,Nf3,g1f3,12,15,0,ok
1,8,4,black,baselines/stockfish,opening/middlegame,Be7,f8e7,-12,-5,0,ok
1,9,5,white,.,opening/middlegame,c5,f1e2,9,-52,61,inaccuracy
1,10,5,black,baselines/stockfish,opening/middlegame,b6,b7b6,29,34,0,ok
1,11,6,white,.,opening/middlegame,Bd3,c5b6,-33,-145,112,mistake
1,12,6,black,baselines/stockfish,opening/middlegame,bxc5,b6c5,141,141,0,ok
1,13,7,white,.,opening/middlegame,dxc5,d4c5,-143,-134,0,ok
1,14,7,black,baselines/stockfish,opening/middlegame,Nfd7,f6d7,152,146,6,ok
1,15,8,white,.,opening/middlegame,O-O,b2b4,-127,-165,38,inaccuracy
1,16,8,black,baselines/stockfish,opening/middlegame,Nxc5,d7c5,149,169,0,ok
1,17,9,white,.,opening/middlegame,Bc2,d3c2,-151,-159,8,ok
1,18,9,black,baselines/stockfish,opening/middlegame,a5,a7a5,165,163,2,ok
1,19,10,white,.,opening/middlegame,Bd2,b1c3,-158,-187,29,ok
1,20,10,black,baselines/stockfish,opening/middlegame,O-O,e8g8,174,162,12,ok
1,21,11,white,.,opening/middlegame,Bxh7+,b1c3,-184,-403,219,major_mistake
1,22,11,black,baselines/stockfish,opening/middlegame,Kxh7,g8h7,388,421,0,ok
1,23,12,white,.,opening/middlegame,Ne5,f3e5,-414,-423,9,ok
1,24,12,black,baselines/stockfish,opening/middlegame,Kg8,b8d7,417,409,8,ok
1,25,13,white,.,opening/middlegame,Qh5,d2c3,-412,-478,66,inaccuracy
1,26,13,black,baselines/stockfish,opening/middlegame,Nbd7,b8d7,481,469,12,ok
1,27,14,white,.,opening/middlegame,Nc6,e5c6,-465,-481,16,ok
1,28,14,black,baselines/stockfish,opening/middlegame,Qe8,d8e8,459,462,0,ok
1,29,15,white,.,opening/middlegame,Bc3,e3e4,-472,-505,33,inaccuracy
1,30,15,black,baselines/stockfish,opening/middlegame,f6,f7f6,528,528,0,ok
1,31,16,white,.,opening/middlegame,Nxe7+,c6e7,-539,-523,0,ok
1,32,16,black,baselines/stockfish,opening/middlegame,Qxe7,e8e7,524,514,10,ok
1,33,17,white,.,opening/middlegame,f3,c3a5,-517,-561,44,inaccuracy
1,34,17,black,baselines/stockfish,opening/middlegame,Qe8,e7e8,543,531,12,ok
1,35,18,white,.,opening/middlegame,Qh3,h5h3,-503,-494,0,ok
1,36,18,black,baselines/stockfish,opening/middlegame,Qg6,c8a6,498,502,0,ok
1,37,19,white,.,opening/middlegame,Nd2,b1d2,-496,-509,13,ok
1,38,19,black,baselines/stockfish,opening/middlegame,Ba6,c8a6,491,473,18,ok
1,39,20,white,.,opening/middlegame,Rfc1,f1c1,-462,-461,0,ok
1,40,20,black,baselines/stockfish,opening/middlegame,Nd3,c5d3,462,469,0,ok
1,41,21,white,.,opening/middlegame,Qxe6+,h3e6,-461,-462,1,ok
1,42,21,black,baselines/stockfish,middlegame,Qf7,g6f7,452,464,0,ok
1,43,22,white,.,middlegame,Qc6,e6f7,-451,-503,52,inaccuracy
1,44,22,black,baselines/stockfish,middlegame,Nxc1,f8c8,466,475,0,ok
1,45,23,white,.,middlegame,Rxc1,a1c1,-459,-467,8,ok
1,46,23,black,baselines/stockfish,middlegame,Rfb8,f8b8,477,471,6,ok
1,47,24,white,.,middlegame,Nb3,c6c7,-472,-488,16,ok
1,48,24,black,baselines/stockfish,middlegame,a4,a5a4,500,484,16,ok
1,49,25,white,.,middlegame,Nd4,b3d4,-478,-494,16,ok
1,50,25,black,baselines/stockfish,middlegame,Ne5,d7e5,511,501,10,ok
1,51,26,white,.,middlegame,Qxa4,c6a4,-503,-499,0,ok
1,52,26,black,baselines/stockfish,middlegame,c5,c7c5,500,512,0,ok
1,53,27,white,.,middlegame,Nf5,d4f5,-502,-506,4,ok
1,54,27,black,baselines/stockfish,middlegame,Bd3,a6d3,504,508,0,ok
1,55,28,white,.,middlegame,Qf4,a4f4,-505,-516,11,ok
1,56,28,black,baselines/stockfish,middlegame,Bxf5,d3f5,512,514,0,ok
1,57,29,white,.,middlegame,Qxf5,f4f5,-509,-516,7,ok
1,58,29,black,baselines/stockfish,middlegame,Re8,b8e8,520,514,6,ok
1,59,30,white,.,middlegame,Bxe5,c3e5,-519,-520,1,ok
1,60,30,black,baselines/stockfish,middlegame,Rxe5,e8e5,525,541,0,ok
1,61,31,white,.,middlegame,Qc2,f5c2,-537,-554,17,ok
1,62,31,black,baselines/stockfish,middlegame,Rxe3,e5e3,557,561,0,ok
1,63,32,white,.,middlegame,Qxc5,b2b4,-571,-567,0,ok
1,64,32,black,baselines/stockfish,middlegame,Qe6,f7e6,580,563,17,ok
1,65,33,white,.,middlegame,Qd4,h2h3,-558,-763,205,major_mistake
1,66,33,black,baselines/stockfish,middlegame,Re1+,e3e1,755,752,3,ok
1,67,34,white,.,middlegame,Kf2,g1f2,-747,-765,18,ok
1,68,34,black,baselines/stockfish,middlegame,Rxc1,e1c1,759,759,0,ok
1,69,35,white,.,middlegame,Qd2,f2g3,-783,-810,27,ok
1,70,35,black,baselines/stockfish,middlegame,Rac8,a8c8,879,906,0,ok
1,71,36,white,.,middlegame,Kg3,f2g3,-896,-920,24,ok
1,72,36,black,baselines/stockfish,middlegame,R1c2,c1c2,961,969,0,ok
1,73,37,white,.,middlegame,Qd4,d2d4,-1005,-1068,63,inaccuracy
1,74,37,black,baselines/stockfish,middlegame,f5,f6f5,1110,1161,0,ok
1,75,38,white,.,middlegame,Kh3,b2b3,-99985,-99995,10,ok
1,76,38,black,baselines/stockfish,middlegame,f4+,f5f4,99995,99996,0,ok
1,77,39,white,.,middlegame,Kh4,h3h4,-99996,-99996,0,ok
1,78,39,black,baselines/stockfish,middlegame,Qh6+,e6h6,99996,99997,0,ok
1,79,40,white,.,middlegame,Kg4,h4g4,-99997,-99997,0,ok
1,80,40,black,baselines/stockfish,middlegame,Rxg2+,c2g2,99997,99998,0,ok
1,81,41,white,.,middlegame,Kf5,g4f5,-99998,-99998,0,ok
1,82,41,black,baselines/stockfish,middlegame,Rf8+,c8f8,99998,99999,0,ok
1,83,42,white,.,middlegame,Ke5,d4f6,-99999,-99999,0,ok
1,84,42,black,baselines/stockfish,middlegame,Rg5#,g2g5,99999,100000,0,ok
2,1,1,white,baselines/stockfish,opening/middlegame,e4,e2e4,31,26,5,ok
2,2,1,black,.,opening/middlegame,e5,e7e5,-36,-36,0,ok
2,3,2,white,baselines/stockfish,opening/middlegame,Nf3,g1f3,43,41,2,ok
2,4,2,black,.,opening/middlegame,Nc6,b8c6,-38,-43,5,ok
2,5,3,white,baselines/stockfish,opening/middlegame,Bb5,f1b5,40,45,0,ok
2,6,3,black,.,opening/middlegame,Nge7,a7a6,-41,-54,13,ok
2,7,4,white,baselines/stockfish,opening/middlegame,Nc3,b1c3,47,64,0,ok
2,8,4,black,.,opening/middlegame,a6,e7g6,-66,-75,9,ok
2,9,5,white,baselines/stockfish,opening/middlegame,Bc4,b5c4,84,73,11,ok
2,10,5,black,.,opening/middlegame,b5,b7b5,-73,-87,14,ok
2,11,6,white,baselines/stockfish,opening/middlegame,Bb3,c4b3,103,95,8,ok
2,12,6,black,.,opening/middlegame,h6,h7h6,-85,-98,13,ok
2,13,7,white,baselines/stockfish,opening/middlegame,a4,a2a4,92,101,0,ok
2,14,7,black,.,opening/middlegame,b4,b5b4,-107,-100,0,ok
2,15,8,white,baselines/stockfish,opening/middlegame,Nd5,c3d5,104,111,0,ok
2,16,8,black,.,opening/middlegame,Nxd5,e7d5,-107,-115,8,ok
2,17,9,white,baselines/stockfish,opening/middlegame,Bxd5,b3d5,103,115,0,ok
2,18,9,black,.,opening/middlegame,Bd6,d8f6,-117,-146,29,ok
2,19,10,white,baselines/stockfish,opening/middlegame,d4,d2d4,147,148,0,ok
2,20,10,black,.,opening/middlegame,exd4,d8f6,-162,-160,0,ok
2,21,11,white,baselines/stockfish,opening/middlegame,Nxd4,f3d4,156,157,0,ok
2,22,11,black,.,opening/middlegame,Nxd4,c8b7,-157,-258,101,mistake
2,23,12,white,baselines/stockfish,opening/middlegame,Qxd4,d1d4,292,288,4,ok
2,24,12,black,.,opening/middlegame,O-O,c7c6,-287,-398,111,mistake
2,25,13,white,baselines/stockfish,opening/middlegame,Bxa8,d5a8,401,400,1,ok
2,26,13,black,.,opening/middlegame,Re8,f8e8,-370,-380,10,ok
2,27,14,white,baselines/stockfish,opening/middlegame,Be3,c1e3,413,400,13,ok
2,28,14,black,.,opening/middlegame,Qe7,a6a5,-428,-429,1,ok
2,29,15,white,baselines/stockfish,opening/middlegame,O-O-O,e1c1,461,453,8,ok
2,30,15,black,.,opening/middlegame,Be5,d6e5,-439,-448,9,ok
2,31,16,white,baselines/stockfish,opening/middlegame,Qd3,d4d3,454,468,0,ok
2,32,16,black,.,opening/middlegame,d5,e7f6,-478,-519,41,inaccuracy
2,33,17,white,baselines/stockfish,opening/middlegame,Bxd5,a8d5,532,541,0,ok
2,34,17,black,.,middlegame,Bg4,c7c6,-530,-547,17,ok
2,35,18,white,baselines/stockfish,middlegame,f4,f2f3,534,539,0,ok
2,36,18,black,.,middlegame,Bxb2+,c7c6,-528,-616,88,mistake
2,37,19,white,baselines/stockfish,middlegame,Kxb2,c1b2,605,623,0,ok
2,38,19,black,.,middlegame,Rb8,c7c5,-630,-666,36,inaccuracy
2,39,20,white,baselines/stockfish,middlegame,Bd4,e3a7,669,674,0,ok
2,40,20,black,.,middlegame,c5,e7e8,-659,-654,0,ok
2,41,21,white,baselines/stockfish,middlegame,Be5,d4e5,665,671,0,ok
2,42,21,black,.,middlegame,b3,b8b6,-654,-790,136,mistake
2,43,22,white,baselines/stockfish,middlegame,Bxb8,e5b8,830,818,12,ok
2,44,22,black,.,middlegame,c4,b3c2,-834,-846,12,ok
2,45,23,white,baselines/stockfish,middlegame,Qxc4,d3c4,840,869,0,ok
2,46,23,black,.,middlegame,bxc2,b3c2,-871,-871,0,ok
2,47,24,white,baselines/stockfish,middlegame,Kxc2,b2c2,866,871,0,ok
