fen_index,fen,stockfish_best,best_eval_cp,v1_move,v1_cp_loss,v1_class,v1_nodes,v1_wall_s,fast_move,fast_cp_loss,fast_class,fast_nodes,fast_wall_s
1,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,d6b8,102,d6b8,31,inaccuracy,46080,3.40847426399705,d6b8,31,inaccuracy,55296,3.4035534220020054
2,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,c3a4,83,c3a4,0,ok,40448,3.4123838619998423,c3a4,0,ok,47872,3.405704525008332
3,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,d1e2,16,d1h5,0,ok,43264,3.4091357809957117,d1h5,0,ok,51456,3.4074225969961844
4,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,b4e7,51,c1a3,81,mistake,40638,3.412961883004755,c1a3,81,mistake,50176,3.410334016996785
5,brnkqnrb/p1pppp1p/1p4p1/8/4P3/4N1P1/PPPP1P1P/BRNKQ1RB b - - 0 1,c8d6,27,f7f5,32,inaccuracy,49152,3.4058609130006516,f7f5,32,inaccuracy,58112,3.410157922990038
6,rnbqk2r/pp2bppp/3p1n2/2p1p3/4P3/P1P2N2/1P1PBPPP/RNBQ1RK1 b kq - 0 1,e8g8,6,e8g8,4,ok,48128,3.401304913990316,e8g8,4,ok,55296,3.4047044109902345
7,r1br2k1/pp2ppbp/5np1/4N1B1/q1B5/1Qn4P/PP3PP1/R4RK1 w - - 0 1,c4f7,16,c4f7,1,ok,43520,3.4202379630005453,c4f7,1,ok,52224,3.409638276993064
8,r3r1k1/pp1q1pb1/2p3p1/3pBb1p/3P4/2N5/PPPQ1PPP/R3R1K1 w - - 0 1,e5g7,-33,e5g7,0,ok,46592,3.401036359005957,e5g7,0,ok,57600,3.411074028990697
9,r3kb1r/6p1/pqb1pp1p/3pB3/3p2P1/1P6/P1P2PBP/R2Q1RK1 w kq - 0 1,e5d4,-7,e5d4,9,ok,45312,3.421579308997025,e5d4,9,ok,56191,3.405394276996958
10,r2q1rk1/1pp2pbp/3p1np1/p2Pp3/P1BnP3/2N4P/1PP2PP1/R1BQ1RK1 w - - 0 1,c1g5,98,c1g5,0,ok,46336,3.402197628005524,c1g5,0,ok,51200,3.4138324110099347
11,2rq1rk1/pp4pp/2n2np1/4N3/1b4P1/2N4P/PPPB1P2/R2QR1K1 w - - 0 1,e5c6,39,e5d3,32,inaccuracy,41472,3.4096256280026864,e5d3,32,inaccuracy,50688,3.41042142000515
12,r1bqkb1r/ppp1nppp/5n2/3pp3/2B1P3/2P2Q2/PP1PNPPP/RNB1K2R w KQkq - 0 1,e4d5,-96,e4d5,40,inaccuracy,39936,3.4061826710094465,e4d5,40,inaccuracy,47872,3.4151739859953523
13,r1bqkbnr/ppp1pppp/2np4/8/8/1PN2N2/P1PPPPPP/R1BQKB1R b KQkq - 0 1,d6d5,-11,d6d5,0,ok,47360,3.4067547720042057,d6d5,0,ok,55477,3.40823975999956
14,r4rk1/1bp1q1pp/1p2p3/p2pPp2/P3nP2/1P1BP2R/1BP1Q1PP/R5K1 b - - 0 1,e7e8,14,h7h6,61,inaccuracy,47872,3.42318961500132,h7h6,61,inaccuracy,57088,3.408956447005039
15,2r2rk1/1p1nbppp/2q1p3/1pNpP3/PP1P4/4PN2/6PP/R1R2QK1 b - - 0 1,b5a4,-97,b5a4,0,ok,45840,3.400541939001414,b5a4,0,ok,51968,3.4042036530008772
16,r2q1r2/p1pnbk2/2p1b3/3pPp2/5Bp1/2NB2Q1/PPP2PP1/R3R1K1 w - - 0 1,f4h6,17,d3f5,17,ok,43776,3.4024065700068604,d3f5,17,ok,54016,3.404661089007277
17,2r2rk1/pp3ppp/2n5/3pPb2/1q6/1PnBP3/P1QN1PPP/R3K2R w KQ - 0 1,d3f5,-98,d3f5,0,ok,41472,3.418307950007147,d3f5,0,ok,49664,3.4045374889974482
18,r1bqk2r/pp3ppp/2nbpn2/8/4P3/1N4P1/PP3PBP/RNBQ1RK1 w kq - 0 1,d1d3,61,c1g5,35,inaccuracy,45056,3.4102931410016026,c1g5,35,inaccuracy,53760,3.407794269005535
19,r1bqr1k1/pp3pp1/2p2n1p/P1bPn3/3N1B2/1BN5/1PP2PPP/R2Q1RK1 b - - 0 1,c6d5,30,c8g4,63,inaccuracy,42752,3.4096195620077197,c8g4,63,inaccuracy,51200,3.417176789997029
20,3r1rk1/pb5p/npq1pbp1/5p2/2PBp3/PP2P1N1/B2RQPPP/3R2K1 b - - 0 1,e6e5,79,f6d4,118,mistake,45553,3.4028053999936674,f6d4,118,mistake,54784,3.4010861160058994
