fen_index,fen,stockfish_best,best_eval_cp,v1_move,v1_cp_loss,v1_class,v1_nodes,see_move,see_cp_loss,see_class,see_nodes
1,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,d6b8,102,d6b8,31,inaccuracy,4887,d6b8,31,inaccuracy,3749
2,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,c3a4,83,c3a4,0,ok,4063,c3a4,0,ok,3026
3,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,d1e2,16,d1h5,0,ok,4477,d1h5,0,ok,2816
4,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,b4e7,51,c1a3,81,mistake,3536,c1a3,81,mistake,1181
5,brnkqnrb/p1pppp1p/1p4p1/8/4P3/4N1P1/PPPP1P1P/BRNKQ1RB b - - 0 1,c8d6,27,f7f5,32,inaccuracy,4718,f7f5,32,inaccuracy,3840
6,rnbqk2r/pp2bppp/3p1n2/2p1p3/4P3/P1P2N2/1P1PBPPP/RNBQ1RK1 b kq - 0 1,e8g8,6,e8g8,4,ok,5218,e8g8,4,ok,2751
7,r1br2k1/pp2ppbp/5np1/4N1B1/q1B5/1Qn4P/PP3PP1/R4RK1 w - - 0 1,c4f7,16,c4f7,1,ok,4608,c4f7,1,ok,2560
8,r3r1k1/pp1q1pb1/2p3p1/3pBb1p/3P4/2N5/PPPQ1PPP/R3R1K1 w - - 0 1,e5g7,-33,e5g7,0,ok,5055,e5g7,0,ok,4352
9,r3kb1r/6p1/pqb1pp1p/3pB3/3p2P1/1P6/P1P2PBP/R2Q1RK1 w kq - 0 1,e5d4,-7,e5d4,9,ok,3766,e5d4,9,ok,2446
10,r2q1rk1/1pp2pbp/3p1np1/p2Pp3/P1BnP3/2N4P/1PP2PP1/R1BQ1RK1 w - - 0 1,c1g5,98,c1e3,55,inaccuracy,4608,c1e3,55,inaccuracy,3584
11,2rq1rk1/pp4pp/2n2np1/4N3/1b4P1/2N4P/PPPB1P2/R2QR1K1 w - - 0 1,e5c6,30,e5c6,3,ok,4352,e5c6,3,ok,2520
12,r1bqkb1r/ppp1nppp/5n2/3pp3/2B1P3/2P2Q2/PP1PNPPP/RNB1K2R w KQkq - 0 1,e4d5,-116,e4d5,6,ok,4019,e4d5,6,ok,3072
13,r1bqkbnr/ppp1pppp/2np4/8/8/1PN2N2/P1PPPPPP/R1BQKB1R b KQkq - 0 1,d6d5,-3,g8f6,35,inaccuracy,5025,g8f6,35,inaccuracy,4334
14,r4rk1/1bp1q1pp/1p2p3/p2pPp2/P3nP2/1P1BP2R/1BP1Q1PP/R5K1 b - - 0 1,a8d8,11,g7g5,195,major,5376,g7g5,195,major,4864
15,2r2rk1/1p1nbppp/2q1p3/1pNpP3/PP1P4/4PN2/6PP/R1R2QK1 b - - 0 1,b5a4,-107,b5a4,0,ok,5120,d7c5,177,major,863
16,r2q1r2/p1pnbk2/2p1b3/3pPp2/5Bp1/2NB2Q1/PPP2PP1/R3R1K1 w - - 0 1,c3e2,30,d3f5,30,inaccuracy,5074,c3d5,311,blunder,3584
17,2r2rk1/pp3ppp/2n5/3pPb2/1q6/1PnBP3/P1QN1PPP/R3K2R w KQ - 0 1,d3f5,0,d3f5,134,mistake,4352,d3f5,134,mistake,2816
18,r1bqk2r/pp3ppp/2nbpn2/8/4P3/1N4P1/PP3PBP/RNBQ1RK1 w kq - 0 1,b1c3,75,b1c3,22,ok,4689,b1c3,22,ok,3840
19,r1bqr1k1/pp3pp1/2p2n1p/P1bPn3/3N1B2/1BN5/1PP2PPP/R2Q1RK1 b - - 0 1,c6d5,21,e5g6,61,inaccuracy,4410,e5g4,126,mistake,944
20,3r1rk1/pb5p/npq1pbp1/5p2/2PBp3/PP2P1N1/B2RQPPP/3R2K1 b - - 0 1,e6e5,61,f6d4,114,mistake,4864,d8d4,251,major,2512
21,8/p7/2pbk3/1p4pp/1P2P3/2PN1K1P/1P6/8 w - - 0 1,f3e2,0,d3f2,97,mistake,7424,d3f2,97,mistake,6400
22,8/1b4k1/p2p4/Pp1P2p1/1Pr5/1R3BKP/3R4/4r3 w - - 0 1,f3e2,-37,d2d1,70,inaccuracy,5888,d2d1,70,inaccuracy,4096
23,1r4r1/3k4/p3pBp1/2ppP1P1/7Q/4Pp2/PP1Kb3/8 w - - 0 1,h4h7,-25,h4h7,8,ok,5888,h4h7,8,ok,4583
24,5b1k/2p5/3p1pqP/3P2pN/p3p1P1/P7/1PBnQ2K/8 b - - 0 1,d2f3,-36,f6f5,294,major,5399,f6f5,294,major,3584
25,r3r1k1/5ppp/p1p5/1pN5/PPnP4/3Q2P1/4qPP1/1RR3K1 w - - 0 1,d3e2,17,d3e2,0,ok,4564,d3e2,0,ok,3232
26,8/4pp2/p5pp/P1RPk3/6PP/5P2/r7/5K2 w - - 0 1,c5c7,-11,c5c7,24,ok,6597,c5c7,24,ok,5888
27,2r5/pp2kp2/4p1p1/3p2P1/3PnP2/2N4R/PPP5/2K5 b - - 0 1,e4d6,23,e4c3,23,ok,5837,e4c3,23,ok,4864
28,1r2rk2/6bR/3pp3/p2R1p2/1pB3P1/1P6/P7/1K6 w - - 0 1,d5d6,-7,d5d6,4,ok,5376,d5d6,4,ok,3584
29,6k1/p1q2rp1/1p4pn/8/2r5/P6Q/1B3PPP/3RR1K1 w - - 0 1,e1e8,356,b2e5,361,blunder,5632,b2e5,361,blunder,4169
30,6k1/1p2qpp1/2pn3p/3p1b1P/p2P1Q1N/P1P5/1P3PP1/5BK1 b - - 0 1,f5c2,-13,f5c2,8,ok,6141,f5c2,8,ok,4864
31,r4rk1/pp3ppp/6q1/3Ppb2/4N3/P2R1P2/1PQ3PP/1K2R3 b - - 0 1,a8c8,25,a8c8,25,ok,4744,a8c8,25,ok,3584
32,4R1k1/1p3p1p/6p1/8/2Pn4/1PN2RP1/r2r1P1P/6K1 b - - 0 1,g8g7,-1,g8g7,0,ok,5632,g8g7,0,ok,4096
33,2r3k1/4ppbp/3p2p1/rNnP4/2P1PP2/5KPP/2R2B2/1R6 w - - 0 1,g3g4,71,f2c5,25,ok,5052,f2c5,25,ok,3698
34,3r1r2/ppp3pp/3nkp2/2n1p3/4P3/4NP2/PPP2NPP/2KR3R w - - 0 1,f2d3,10,h2h4,12,ok,5632,h2h4,12,ok,3206
35,8/6p1/p1kbpp2/1p5p/3BKP2/P1P3PP/1P6/8 w - - 0 1,g3g4,0,g3g4,0,ok,6144,g3g4,0,ok,4700
36,3qk2r/3rbppp/p1p2n2/8/3p4/4B3/PPP1QPPP/RN1R2K1 w k - 0 1,e3g5,34,e3g5,9,ok,4715,e3g5,9,ok,3479
37,5k2/p4p1p/1b4p1/1P6/PN6/6PP/5r2/3RK3 b - - 0 1,f2b2,38,f2g2,38,inaccuracy,6400,f2b2,38,inaccuracy,5376
38,5k2/1R2Rp1p/5rp1/p7/4PP2/4r1P1/7P/5K2 b - - 0 1,g6g5,-20,h7h5,105,mistake,6582,h7h5,105,mistake,4342
39,3r2k1/5ppp/1P1b4/8/8/3pBQ1P/4qPP1/3R2K1 b - - 0 1,h7h6,-48,e2f3,0,ok,5499,e2f3,0,ok,3840
40,1k1r4/1pp5/1n6/p1qp4/5Q2/PP3P2/2PR2r1/1NK1R3 b - - 0 1,g2d2,51,g2d2,0,ok,5562,g2d2,0,ok,4352
41,2N5/p3k3/4P2p/4r3/8/8/n5P1/5RK1 b - - 0 1,e7e6,3,e7e6,1,ok,7424,e7e6,1,ok,6912
42,8/8/1N2k3/1p2n3/4K3/8/1P6/8 w - - 0 1,b6d5,0,e4d4,1,ok,8960,e4d4,1,ok,8448
43,8/2R5/4k1p1/p4r2/2K2P1p/P5PP/8/8 w - - 0 1,g3h4,0,c7c6,0,ok,6912,c7c6,0,ok,6144
44,3R4/1r4k1/8/P7/2P1K2p/8/8/8 w - - 0 1,e4d4,95,a5a6,82,mistake,7936,a5a6,82,mistake,7680
45,8/1r5R/1k1pK3/2pP4/8/8/8/8 w - - 0 1,h7h1,0,h7h2,0,ok,8448,h7h2,0,ok,7680
46,8/p3R3/6kp/6p1/3p2P1/3r3P/P5K1/8 w - - 0 1,e7a7,-21,e7a7,6,ok,7168,e7a7,6,ok,6912
47,8/3R2p1/7k/8/1r4P1/3P4/3K4/8 b - - 0 1,b4g4,6,b4g4,9,ok,9216,b4g4,9,ok,8704
48,6k1/3R4/7p/8/3p2PK/5r2/8/8 w - - 0 1,d7d4,5,h4h5,0,ok,9216,h4h5,0,ok,8704
49,8/1k5p/p4P2/1p6/2p5/P3Q2P/KPq5/8 b - - 0 1,c2f5,0,c2f5,24,ok,7680,c2f5,24,ok,6912
50,2k4r/ppn3Q1/8/8/P4R2/8/q2B3P/6K1 b - - 0 1,h8e8,6,h8d8,22,ok,5559,h8d8,22,ok,4803
51,8/8/6p1/5k1p/3K3P/8/6P1/8 w - - 0 1,d4d5,-7,d4d5,0,ok,9869,d4d5,0,ok,9472
52,2r1k3/6p1/p2B2P1/1p1KpP2/1P6/8/8/8 w - - 0 1,d6e5,-132,d6e5,0,ok,7680,d6e5,0,ok,6912
53,8/7P/5k2/R7/8/2r3K1/8/8 w - - 0 1,g3g2,4,g3f2,4,ok,7680,g3f2,4,ok,7936
54,5k2/7R/5p2/p7/5P2/1P3K1P/r7/8 b - - 0 1,a2a3,-6,a2b2,11,ok,7424,a2b2,11,ok,6912
55,8/6kp/p5p1/3R4/3p4/7P/P5PK/5r2 b - - 0 1,f1d1,276,f1d1,256,major,7680,f1d1,256,major,7168
56,8/8/4p1N1/p3P2P/4k1K1/4b3/P7/8 w - - 0 1,a2a4,58,g6f8,47,inaccuracy,7680,g6f8,47,inaccuracy,6912
57,3k4/Q4R2/8/4p2p/2p2b2/8/7q/5K2 b - - 0 1,h2h3,0,h2h3,0,ok,6934,h2h3,0,ok,6656
58,8/3R4/8/5r2/3k4/3p4/P5KP/8 b - - 0 1,d4e3,3,f5d5,606,blunder,8192,f5d5,606,blunder,7936
59,4k3/p7/2r4p/2pRP1p1/8/8/P4KPP/8 w - - 0 1,f2e2,-12,f2e3,3,ok,7027,f2e3,3,ok,6596
60,8/4k3/1p4P1/1Kn5/P4p2/5B2/8/8 w - - 0 1,a4a5,0,a4a5,0,ok,7424,a4a5,0,ok,6400
