case_id,category,source,fen,variant,move,mode,elapsed_s,completed_depth,engine_score_cp,nodes,nps,tt_cutoffs,null_tries,null_cutoffs,lmr_reductions,lmr_researches,futility_skips,repetition_draws,aspiration_retries,material_capture_deprioritized,qnodes,sf_best_move,sf_best_score,sf_candidate_score,sf_best_cp_equiv,sf_candidate_cp_equiv,cp_delta_raw,cp_loss,sf_best_expectation,sf_candidate_expectation,expectation_delta_raw,expectation_loss,mate_blunder,sign_flip,winning_to_notwinning,sf_best_pv,sf_candidate_pv
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,baseline,d6b8,fixed-depth,2.126427954004612,5,-28,34677,16307.629861004354,176,85,40,1116,2,904,0,0,0,23078,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,no_null,d6b8,fixed-depth,2.4715916789718904,5,-28,40247,16283.83860587424,549,0,0,1538,2,1611,0,0,0,26365,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,null_safe,d6b8,fixed-depth,2.3900835509994067,5,-28,39244,16419.509679312352,401,39,13,1116,2,943,0,0,0,25979,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,null_no_endgame,d6b8,fixed-depth,2.1476047309988644,5,-28,34677,16146.826042738094,176,85,40,1116,2,904,0,0,0,23078,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,no_lmr,d6b8,fixed-depth,3.566679796000244,5,-28,62294,17465.543183847876,209,127,74,0,0,17445,0,0,0,36995,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,lmr_safe,d6b8,fixed-depth,3.0983285209804308,5,-28,57085,18424.450349098584,250,85,40,42,0,17445,0,0,0,32488,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,no_futility,d6b8,fixed-depth,2.229440519004129,5,-28,36485,16365.092357923737,176,85,40,1116,2,0,0,0,0,23982,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,no_selectivity,d6b8,fixed-depth,6.867740792018594,5,-28,133878,19493.746787238608,802,0,0,0,0,0,0,0,0,79597,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,conservative,d6b8,fixed-depth,4.443608101981226,5,-28,89666,20178.647158380492,476,39,13,42,0,3906,0,0,24465,49674,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,baseline,c3a4,fixed-depth,0.6114245959906839,5,13,9612,15720.662961596749,28,55,47,139,2,1208,0,0,0,5984,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,no_null,c3a4,fixed-depth,1.3066788840224035,5,13,18529,14180.224557514402,149,0,0,688,2,1965,0,0,0,12019,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,null_safe,c3a4,fixed-depth,0.9893131559947506,5,13,13778,13926.833901391186,91,27,24,139,2,1208,0,0,0,8877,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,null_no_endgame,c3a4,fixed-depth,0.6338523160084151,5,13,9612,15164.415680501183,28,55,47,139,2,1208,0,0,0,5984,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
