case_id,category,source,fen,variant,move,mode,elapsed_s,completed_depth,engine_score_cp,nodes,nps,tt_cutoffs,null_tries,null_cutoffs,lmr_reductions,lmr_researches,futility_skips,repetition_draws,aspiration_retries,material_capture_deprioritized,qnodes,sf_best_move,sf_best_score,sf_candidate_score,sf_best_cp_equiv,sf_candidate_cp_equiv,cp_delta_raw,cp_loss,sf_best_expectation,sf_candidate_expectation,expectation_delta_raw,expectation_loss,mate_blunder,sign_flip,winning_to_notwinning,sf_best_pv,sf_candidate_pv
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,baseline,d6b8,timed,3.410418412007857,5,-28,56064,16439.038624293833,325,156,88,1505,3,4863,0,0,0,37568,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,no_null,d6b8,timed,3.4104048130102456,5,-28,56064,16439.10417500093,730,0,0,1753,3,1925,0,0,0,38160,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,null_safe,d6b8,timed,3.4169182289915625,5,-28,56320,16482.688851650324,561,41,14,1292,3,1162,0,0,0,38987,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,null_no_endgame,d6b8,timed,3.404246707999846,5,-28,56320,16544.041848568206,325,156,88,1511,3,4965,0,0,0,37703,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,no_lmr,d6b8,timed,3.408600574010052,4,5,60416,17724.576021215515,134,120,72,0,0,15011,0,0,0,36186,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,lmr_safe,d6b8,timed,3.4060039030155167,5,-28,61184,17963.573073369218,250,86,40,42,0,17741,0,0,0,34844,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,no_futility,d6b8,timed,3.4022883800207637,5,-28,58880,17305.99920505288,317,148,84,1424,3,0,0,0,0,38771,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,no_selectivity,d6b8,timed,3.408054914994864,4,5,54272,15924.626026773336,332,0,0,0,0,0,0,0,0,37938,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0001,fen_suite,training/data/test_fens_60.txt,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,conservative,d6b8,timed,3.4088668569747824,4,5,66816,19600.648192900157,370,25,11,42,0,2928,0,0,21074,38115,d6b8,+88,+88,88,88,0.0,0.0,0.6915,0.6915,0.0,0.0,False,False,False,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3,d6b8 f1e1 d5d4 e3d4 e8e1 f3e1 a7a6 b5a3 c5d4 a3c4 d8c7 g2g3
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,baseline,c3a4,timed,3.4060664939752314,6,44,45398,13328.571265505696,591,197,144,962,9,6995,0,0,0,28273,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
